timestamp,raw_marlin
"2026-05-18T10:27:15.768Z","ok T:243.75 /245.00 B:85.01 /85.00 @:127 B@:46"
"2026-05-18T10:27:15.771Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:27:15.773Z","ok"
"2026-05-18T10:27:21.382Z","ok T:244.77 /245.00 B:85.01 /85.00 @:105 B@:46"
"2026-05-18T10:27:21.387Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:27:21.397Z","ok"
"2026-05-18T10:27:26.931Z","ok T:245.86 /245.00 B:84.99 /85.00 @:85 B@:50"
"2026-05-18T10:27:26.936Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:27:26.938Z","ok"
"2026-05-18T10:27:32.668Z","ok T:244.92 /245.00 B:85.00 /85.00 @:107 B@:48"
"2026-05-18T10:27:32.672Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:27:32.677Z","ok"
"2026-05-18T10:27:37.694Z","ok T:243.98 /245.00 B:84.99 /85.00 @:124 B@:50"
"2026-05-18T10:27:37.696Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:27:37.698Z","ok"
"2026-05-18T10:27:43.090Z","ok T:245.00 /245.00 B:84.99 /85.00 @:105 B@:50"
"2026-05-18T10:27:43.092Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:27:43.094Z","ok"
"2026-05-18T10:30:26.346Z","ok T:245.94 /245.00 B:85.00 /85.00 @:83 B@:49"
"2026-05-18T10:30:26.365Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:30:26.371Z","ok"
"2026-05-18T10:30:31.436Z","ok T:245.00 /245.00 B:85.00 /85.00 @:103 B@:49"
"2026-05-18T10:30:31.438Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:30:31.440Z","ok"
"2026-05-18T10:30:36.418Z","ok T:244.30 /245.00 B:85.00 /85.00 @:116 B@:49"
"2026-05-18T10:30:36.420Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:30:36.422Z","ok"
"2026-05-18T10:30:41.701Z","ok T:245.00 /245.00 B:85.02 /85.00 @:101 B@:45"
"2026-05-18T10:30:41.704Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:30:41.708Z","ok"
"2026-05-18T10:30:47.020Z","ok T:245.08 /245.00 B:85.00 /85.00 @:103 B@:49"
"2026-05-18T10:30:47.022Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:30:47.023Z","ok"
"2026-05-18T10:30:52.428Z","ok T:245.00 /245.00 B:85.00 /85.00 @:104 B@:49"
"2026-05-18T10:30:52.430Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:30:52.435Z","ok"
"2026-05-18T10:30:57.446Z","ok T:245.00 /245.00 B:85.01 /85.00 @:102 B@:47"
"2026-05-18T10:30:57.447Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:30:57.449Z","ok"
"2026-05-18T10:31:02.874Z","ok T:243.91 /245.00 B:85.01 /85.00 @:127 B@:47"
"2026-05-18T10:31:02.877Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:31:02.881Z","ok"
"2026-05-18T10:31:08.505Z","ok T:245.00 /245.00 B:84.99 /85.00 @:103 B@:50"
